,ProfileName,Text
14,lynrie oh hell no,"['strawberry', 'twizzlers', 'guilty', 'pleasure', 'yummy', 'pound', 'around']"
74,jen,"['okay', 'would']"
109,gary peterson,"['presently', 'diet', 'fresh', 'easy', 'neighborhood', 'grocery', 'looking', 'possible', 'diet', 'food', 'wanted', 'thing', 'tasty', 'nonfat', 'calorie', 'came', 'home', 'dozen', 'item', 'thats', 'discovered', 'tillen', 'farm', 'pickled', 'crispy', 'asparagus', 'well', 'always', 'liked', 'asparagus', 'anyway', 'enjoyed', 'several', 'brand', 'pickled', 'asparagus', 'tillen', 'farm', 'brand', 'really', 'really', 'good', 'best', 'recall', 'excellent', 'flavor', 'clove', 'garlic', 'bottom', 'looking', 'forward', 'eating', 'cant', 'believe', 'good', 'asparagus', 'taste', 'right', 'front', 'say', 'calorie', 'idea', 'good', 'diet', 'foodbr', 'gary', 'peterson']"
136,sarah,"['best', 'investment', 'ever', 'made', 'ginger', 'unbelievable', 'fibrous', 'like', 'real', 'ginger', 'spicy', 'kick', 'perfect', 'sugar', 'calm', 'worth', '5lbs', 'getting', 'soon', 'topper', 'ginger', 'cupcake', 'cooky']"
143,c2,"['looking', 'le', 'messy', 'version', 'licorice', 'child', 'sure', 'theyre', 'soft', 'easy', 'chew', 'dont', 'hand', 'sticky', 'gross', 'summer', 'beach', 'love', 'flavos', 'sometimes', 'chocolate', 'nice', 'snack', 'great', 'item', 'great', 'price', 'highly', 'recommend']"
151,chris,"['work', 'chicken', 'fish', 'beef', 'pork', 'fast', 'easy', 'make', 'taste', 'excellent', 'plus', 'buying', 'bulk', 'store']"
369,c f hill cfh,"['green', 'mountain', 'nantucket', 'blend', 'kcups', 'make', 'good', 'coffee', 'hrefhttpwwwamazoncomgpproductb000aqpmhakeurig', 'elite', 'gourmet', 'singlecup', 'homebrewing', 'systema', 'smooth', 'tasting', 'brew', 'wife', 'prefers', 'hrefhttpwwwamazoncomgpproductb0029xdzikcoffee', 'people', 'donut', 'shop', 'kcups', 'keurig', 'brewer', 'pack', 'amazon', 'frustrationfree', 'packaginga', 'generally', 'drink', 'morningbr', 'good', 'small', 'large', 'setting', 'wellbr', 'highly', 'recommendedbr']"
440,david,"['honey', 'dijon', 'flavor', 'okay', 'flavor', 'girlfriend', 'thought', 'left', 'aftertaste', 'aftertaste', 'sort', 'like', 'cheese', 'presumably', 'folk', 'like', 'fancy', 'cheese', 'eater', 'lingers', 'least', 'hour', 'give', 'flavor', 'rating', 'star', 'also', 'tried', 'cheddar', 'flavor', 'star', 'liked', 'better', 'didnt', 'leave', 'longlingering', 'aftertastebr', 'give', 'consistency', 'chip', 'star', 'chip', 'crunchy', 'also', 'greasy', 'enough', 'keep', 'napkin', 'near', 'wash', 'hand', 'eating', 'kettle', 'chip']"
451,lynrie oh hell no,"['read', 'review', 'ranged', 'splendid', 'awful', 'took', 'plunge', 'like', 'salty', 'tangy', 'flavor', 'never', 'took', 'leap', 'ordered', 'case', 'super', 'price', 'arrived', 'quickly', 'great', 'shape', 'sell', 'date', '2011', 'middle', 'chip', 'something', 'cant', 'live', 'without', 'love', 'crunch', 'color', 'trans', 'little', 'vinegary', 'taste', 'coming', 'grew', 'eating', 'pickled', 'hardboiled', 'egg', 'pickled', 'pig', 'feetbr', 'havent', 'tried', 'deli', 'sandwich', 'cold', 'beer', 'might', 'improve', 'experience']"
555,linda,"['dont', 'waste', 'money', 'kettle', 'brand', 'potato', 'chip', 'bought', 'case', 'case', 'cheddar', 'sour', 'cream', 'case', 'ended', 'garbage']"
637,chris,"['kettle', 'chip', 'taste', 'good', 'crispy', 'crunchy', 'enjoy', 'also', 'moreoverits', 'thinly', 'sliced']"
729,chris,"['really', 'like', 'pineapple', 'shortcake', 'sold', 'unlike', 'massproduction', 'pineapple', 'shortcake', 'artificial', 'flavoring', 'tasselfields', 'pineapple', 'shortcake', 'real', 'pineapple', 'make', 'whole', 'world', 'difference', 'even', 'taste', 'fiber', 'pineapplebr', 'opted', 'traditional', 'pineapple', 'time', 'interested', 'trying', 'longan', 'mango', 'variety', 'next', 'time']"
